index,original_file,processed_file,mse_gray,psnr_gray_db,mean_abs_diff_gray,edge_var_original,edge_var_processed
118,20490.png,processed_4a22f8392e7d4d878657ad8cf21434cb.jpg,3760.2134,12.379,37.765,190.1181,255.7861
119,2058.png,processed_4a3cfbc9f03048d1baf319536942bc9e.jpg,5294.2002,10.893,45.1437,174.7548,169.8435
120,20615.png,processed_4b0eacd506ca4b4081c7523ca064f627.jpg,6512.9648,9.993,49.1742,150.6548,264.0269
121,20773.png,processed_4b18980e39eb44c4a09229e310a9decc.jpg,13455.1826,6.842,75.8012,178.2012,333.7152
122,20929.png,processed_4b6eb875ec324dcabfcc83812b89738a.jpg,9794.0244,8.221,62.7225,314.496,543.2391
123,21156.png,processed_4c762a5e729d4506b170f2ce7de2bb0f.jpg,11385.8418,7.567,72.222,199.6973,207.4158
124,2116.png,processed_4ca14f25f5c14fff9bebb3a6f66a20c7.jpg,8681.6465,8.745,64.8528,155.0897,316.9134
125,21178.png,processed_4caeb915ff79492197c1c3acaf3505f1.jpg,13842.0615,6.719,88.8752,460.3885,175.7784
126,21243.png,processed_4dc7badd735b47ba974953050aed18ba.jpg,8790.2676,8.691,53.9234,189.3038,67.5222
127,2127.png,processed_4fa1860064c94db4bc02a5f35c757834.jpg,11763.5293,7.425,74.2929,140.4569,154.36
128,21359.png,processed_4ff5c10b897c486bb8949bc30941c94b.jpg,9130.75,8.526,61.3169,372.3512,102.7717
129,21370.png,processed_50d1f7a0be884cf7af69d4d724c699af.jpg,9139.3252,8.522,58.4374,72.9858,451.9077
130,21378.png,processed_50e387253a9d491abc2d162db02e2e13.jpg,8349.9707,8.914,66.3948,118.1066,387.5335
131,21447.png,processed_5188bbd147cf4a468b701253a6fafd1f.jpg,11264.4863,7.614,73.9766,254.2847,218.9961
132,21511.png,processed_5215884a7c8e4709b9394674563d2280.jpg,10041.7422,8.113,76.3839,151.3859,185.4715
133,21516.png,processed_534b54ec354f45dd8dde3072f59ba294.jpg,8030.2715,9.084,62.3318,166.1568,269.06
134,21608.png,processed_53571145830f431f92797248eeea39f2.jpg,13013.6045,6.987,82.5433,755.754,214.9344
135,21887.png,processed_535db14d0bd04a51bc8e38c9c3dd670b.jpg,10245.2471,8.026,70.9618,101.3059,170.7246
136,21904.png,processed_537f843503b2469b9da68e96c3a89e2e.jpg,5302.791,10.886,50.0225,156.2302,54.8878
137,2314.png,processed_5391ec2c823a483789a8d69fa5a89ca7.jpg,6686.5737,9.879,49.6805,96.0604,185.4914
138,2333.png,processed_542b8ff4ca2c4e3899b40a9901484877.jpg,10870.7314,7.768,73.9607,284.9288,308.4269
139,2364.png,processed_55c9617698db4b15aade3e294383f2b6.jpg,10116.1182,8.081,70.3906,246.996,250.09
140,2533.png,processed_56242c93b0674d1791c0f1c19ec9e5bf.jpg,10727.9326,7.826,63.6695,157.6183,243.8456
141,2583.png,processed_565ce617410b4366acbfdbbae5c078f5.jpg,7215.8447,9.548,51.6149,131.5249,594.8501
142,2591.png,processed_573ebbe3e78143d583db4ddc3e286205.jpg,9460.752,8.372,65.3399,143.4708,253.8435
143,2708.png,processed_573facc591b24f5a98f77ae129aacc0c.jpg,7213.1289,9.55,51.5339,102.459,268.6793
144,2836.png,processed_57a208ebb01548889548bdb49e738aa7.jpg,5057.4443,11.091,49.4329,262.8557,402.0217
145,2895.png,processed_57ae339a64104128a0ab4ba78a489fda.jpg,8819.959,8.676,63.5441,221.1941,283.0125
146,3050.png,processed_57e45c364d1a49d8bbce77d2021ee418.jpg,9185.1426,8.5,60.5223,202.3588,358.811
